Time,UF유입압력_PT001,UF유입압력_PT007,UF유입압력_PT002,UF유입압력_PT005,UF압력_UF-TMP,UF유입압력_PT003,UF유입압력_PT004,UF유입압력_PT006,UF처리탁도_TUB001,UF농축유량_FIT001,UF처리유량_FIT002,UF유입온도_TIT001,UF유입온도_TIT002,UF유입온도_TIT003,전기전도도_EC001,UFpH_pH001,UF히터_EH001,UF레귤레이터_REG001,UF레귤레이터_REG002,UF펌프_P001,UF펌프_P002,UF펌프_P003,UF펌프_P004,UF펌프_P005,XV001,XV002,XV003,XV004,XV005,XV006,XV007,XV008,XV009,XV010,XV011,XV012
10/22/2025 16:39,1.4253,1.3503,0,1.115,1.27015,1.4253,1.3503,1.115,1.75,23.8701,2.3788,48.3438,48.3438,48.3438,23.8701,2.3788,,,,45.965,21.4913,22.1201,22.5198,22.4448,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 16:44,1.4228,1.3509,0,1.1313,1.27705,1.4228,1.3509,1.1313,1.75,23.8758,2.377,48.15,48.15,48.15,23.8758,2.377,,,,45.773,21.4988,22.1258,22.5249,22.453,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 16:49,1.4234,1.3516,0,1.1025,1.26295,1.4234,1.3516,1.1025,1.775,23.8871,2.3752,48.2125,48.2125,48.2125,23.8871,2.3752,,,,45.8373,21.5119,22.1121,22.5355,22.4637,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 16:54,1.4313,1.3528,0,1.1387,1.285,1.4313,1.3528,1.1387,1.75,23.8814,2.3734,48.3625,48.3625,48.3625,23.8814,2.3734,,,,45.9891,21.508,22.1314,22.5286,22.4501,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 16:59,1.4288,1.3509,0,1.0988,1.2638,1.4288,1.3509,1.0988,1.75,23.8532,2.3716,48.225,48.225,48.225,23.8532,2.3716,,,,45.8534,21.4816,22.1032,22.5023,22.4244,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 17:04,1.4241,1.3528,0,1.1425,1.2833,1.4241,1.3528,1.1425,1.8,23.921,2.3824,48.1625,48.1625,48.1625,23.921,2.3824,,,,45.7801,21.5386,22.121,22.5682,22.4969,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 17:09,1.4197,1.3519,0,1.1325,1.2761,1.4197,1.3519,1.1325,1.8,23.8419,2.3752,48.1313,48.1313,48.1313,23.8419,2.3752,,,,45.7561,21.4667,22.0419,22.49,22.4222,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 17:14,1.4256,1.3525,0,1.1338,1.2797,1.4256,1.3525,1.1338,1.8,23.8758,2.3806,48.25,48.25,48.25,23.8758,2.3806,,,,45.8694,21.4952,22.0758,22.5233,22.4502,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 17:19,1.4278,1.3522,0,1.1013,1.26455,1.4278,1.3522,1.1013,1.775,23.8645,2.3752,48.3125,48.3125,48.3125,23.8645,2.3752,,,,45.9373,21.4893,22.0895,22.5123,22.4367,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 17:24,1.4169,1.3522,0,1.1375,1.2772,1.4169,1.3522,1.1375,1.775,23.8503,2.3806,48.225,48.225,48.225,23.8503,2.3806,,,,45.8444,21.4697,22.0753,22.4981,22.4334,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 17:29,1.4147,1.3522,0,1.12,1.26735,1.4147,1.3522,1.12,1.75,23.8617,2.3788,48.1125,48.1125,48.1125,23.8617,2.3788,,,,45.7337,21.4829,22.1117,22.5095,22.447,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 17:34,1.4166,1.3503,0,1.0925,1.25455,1.4166,1.3503,1.0925,1.775,23.8899,2.3716,48.0875,48.0875,48.0875,23.8899,2.3716,,,,45.7159,21.5183,22.1149,22.5396,22.4733,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 17:39,1.4147,1.3509,0,1.1275,1.2711,1.4147,1.3509,1.1275,1.775,23.8475,2.3716,48.0188,48.0188,48.0188,23.8475,2.3716,,,,45.6472,21.4759,22.0725,22.4966,22.4328,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 17:44,1.415,1.3528,0,1.1088,1.2619,1.415,1.3528,1.1088,1.775,23.8419,2.377,47.9,47.9,47.9,23.8419,2.377,,,,45.523,21.4649,22.0669,22.4891,22.4269,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 17:49,1.4297,1.3513,0,1.105,1.26735,1.4297,1.3513,1.105,1.75,23.8447,2.377,48.1063,48.1063,48.1063,23.8447,2.377,,,,45.7293,21.4677,22.0947,22.4934,22.415,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 17:54,1.4184,1.3509,0,1.125,1.2717,1.4184,1.3509,1.125,1.725,23.8645,2.3824,48.1938,48.1938,48.1938,23.8645,2.3824,,,,45.8114,21.4821,22.1395,22.5136,22.4461,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 17:59,1.4209,1.3516,0,1.1113,1.2661,1.4209,1.3516,1.1113,1.75,23.8701,2.377,48.1563,48.1563,48.1563,23.8701,2.377,,,,45.7793,21.4931,22.1201,22.5185,22.4492,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 18:04,1.4141,1.3494,0,1.1,1.25705,1.4141,1.3494,1.1,1.675,23.8871,2.377,48.1625,48.1625,48.1625,23.8871,2.377,,,,45.7855,21.5101,22.2121,22.5377,22.473,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 18:09,1.4247,1.3522,0,1.0862,1.25545,1.4247,1.3522,1.0862,1.75,23.8701,2.3734,47.9,47.9,47.9,23.8701,2.3734,,,,45.5266,21.4967,22.1201,22.5179,22.4454,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 18:14,1.4144,1.3516,0,1.1338,1.2741,1.4144,1.3516,1.1338,1.725,23.8673,2.3824,48.3125,48.3125,48.3125,23.8673,2.3824,,,,45.9301,21.4849,22.1423,22.5157,22.4529,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 18:19,1.4206,1.3509,0,1.125,1.2728,1.4206,1.3509,1.125,1.675,23.8673,2.377,48.0688,48.0688,48.0688,23.8673,2.377,,,,45.6918,21.4903,22.1923,22.5164,22.4467,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 18:24,1.4238,1.3497,0,1.0938,1.2588,1.4238,1.3497,1.0938,1.675,23.8701,2.3806,48.2625,48.2625,48.2625,23.8701,2.3806,,,,45.8819,21.4895,22.1951,22.5204,22.4463,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 18:29,1.4225,1.3516,0,1.125,1.27375,1.4225,1.3516,1.125,1.775,23.8984,2.3716,48.3688,48.3688,48.3688,23.8984,2.3716,,,,45.9972,21.5268,22.1234,22.5468,22.4759,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 18:34,1.4213,1.3509,0,1.115,1.26815,1.4213,1.3509,1.115,1.8,23.8758,2.3752,48.1125,48.1125,48.1125,23.8758,2.3752,,,,45.7373,21.5006,22.0758,22.5249,22.4545,1,1,1,0,1,1,0,1,1,1,1,1
